estc_id,actor_id
W25228,43362968
N4099,bbti_20389
T195455,sguirejump_0
W37765,38347954
N16439,bbti_3052
T210448,bbti_108117
T57810,304945713
W20709,56609913
N9531,bbti_106365
N69728,13724886
T60963,NV7198
T75200,228716377
N70458,36768263
T119655,21213427
T52311,63858034
T194549,bbti_111940
T63944,56662373
T43890,bbti_76724
T14979,thomasjohnson_0
T49181,13724886
T121507,bbti_109907
T28043,31591451
T117647,bbti_53584
T7348,9741821
T70802,bbti_75857
N6793,9741821
N52274,henryhillsdeceasd_0
T32231,bbti_65245
T151093,bbti_83534
R175386,bbti_75712
T166846,256388966
T109241,bbti_112714
W4727,58167123
T64158,bbti_78110
T115365,51743443
T184923,bbti_53848
T47216,76192869
T19692,executrixofthomasnewcombdeceasd_0
N1475,51577264
T154411,36768263
T117000,bbti_36803
N504955,31591451
T83566,bandcmotte_1
T44197,bbti_11071
T110272,charlesjacksonmerchant_0
T139412,93597710
R185917,29080720
T116577,36768263
W13528,55606557
R188812,26938284
N34505,jamesmceuen_0
T82000,17097029
T191976,122574378
T44882,bbti_27948
T36326,36927363
T171632,eliphaldobson_0
T117053,59137424
N40768,bbti_7900
T4281,jandjrivington_1
T94191,24497251
T5157,228716377
N9782,bbti_72157
T166160,bbti_10232
T26877,49138123
W9999,59137165
N52751,54199802
T167226,georgerisk_0
T144061,bbti_109210
T44979,19591103
T104480,17097029
T150867,228716377
W11474,38347954
T91742,121294363
T140324,bbti_51499
N46967,2821751
T47361,36972115
T54382,jacobrobinson_1
T87751,31883514
T166591,39253068
T147153,gulielmibowyer_0
T165975,51577264
T117186,66322672
T79517,jamesmeuros_1
T100419,bbti_45087
T105818,bbti_51499
T69265,1565494
T178782,bbti_6399
T62409,12361109
W3483,38347954
T119465,bbti_107347
N44518,rightreasonesq_0
T153807,robertfleming_0
T138595,63858034
T70790,44350696
T91394,bbti_58959
T104533,bbti_33783
T139261,40811864
N18435,churchsimmons_0
T56235,bbti_64297
N7932,abrahambradley_0
T56069,295382906
T86974,71283786
T98193,39467138
T11730,bbti_10233
T66078,davidduncan_2
T173665,bbti_41788
N52213,bbti_4474
T151924,bbti_74306
T177656,34509535
T154702,173741386
N27298,jameswatsondeceast_0
N27745,samfarleyandjosbliss_0
N15002,72798292
T5669,71283786
T180641,187519562
T98931,bbti_107725
T88966,bbti_110417
T13820,330654
W17300,16293464
T226624,lukedillon_0
T78340,bbti_36803
T136991,bbti_116262
T154317,bbti_46865
T1184,bbti_40501
T136419,61419541
T36761,executrixofthomasnewcombdeceasd_0
T117555,4306147270694535700005
T170565,19553220
